portfolio_id,period,trades,net_jpy,gross_profit_jpy,gross_loss_jpy,profit_factor,win_rate,average_trade_jpy,median_trade_jpy,realized_drawdown_jpy,minimum_realized_equity_jpy,maximum_consecutive_losses,longest_realized_underwater_hours,top_1_winner_removal_net_jpy,top_3_winner_removal_net_jpy,top_5_winner_removal_net_jpy,modified_trades
P0_B02_BASELINE_F05_BASELINE,2020-01,71,-1577.999999999989,4918.000000000049,-6496.000000000037,0.7570812807881806,0.4507042253521127,-22.225352112675903,-12.000000000000455,2569.9999999999854,97430.00000000001,5,752.5000691666667,-2280.999999999992,-3072.9999999999936,-3715.0000000000036,0
P0_B02_BASELINE_F05_BASELINE,2020-02,77,15218.000000000033,19078.00000000003,-3859.999999999999,4.942487046632133,0.5974025974025974,197.63636363636405,75.00000000000284,1027.999999999971,99837.00000000001,4,351.2500058333333,13855.000000000033,11488.00000000003,9430.000000000036,0
P0_B02_BASELINE_F05_BASELINE,2020-03,74,5676.000000000003,22912.999999999964,-17236.999999999967,1.32929164007658,0.5135135135135135,76.70270270270274,26.499999999998636,6001.000000000015,99099.0,7,382.74995472222224,3629.0000000000055,698.0000000000082,-1790.9999999999818,0
P0_B02_BASELINE_F05_BASELINE,2020-04,63,-4886.000000000009,4092.0000000000273,-8978.000000000036,0.45578079750501344,0.3968253968253968,-77.5555555555557,-60.000000000002274,4919.000000000015,95080.99999999999,9,715.000263888889,-5341.000000000007,-6046.00000000002,-6600.000000000007,0
P0_B02_BASELINE_F05_BASELINE,2020-05,80,688.9999999998935,6344.999999999942,-5656.000000000048,1.1218175388967269,0.475,8.612499999998668,-7.500000000000284,1998.0000000000873,99244.0,10,407.7500211111111,165.99999999989734,-684.000000000097,-1481.0000000000937,0
P0_B02_BASELINE_F05_BASELINE,2020-06,75,5464.999999999921,12229.999999999947,-6765.000000000029,1.807834441980768,0.5733333333333334,72.86666666666561,67.99999999999784,2979.000000000029,99840.0,8,456.75027472222223,4496.999999999917,2696.99999999992,1092.9999999999345,0
P0_B02_BASELINE_F05_BASELINE,2020-07,102,2474.0000000000323,10206.99999999998,-7732.999999999947,1.3199275830854842,0.4803921568627451,24.25490196078463,-4.0000000000048885,1342.9999999999563,98657.00000000004,4,295.5003861111111,1466.0000000000368,418.000000000035,-222.9999999999559,0
P0_B02_BASELINE_F05_BASELINE,2020-08,94,2318.0000000001264,10185.000000000075,-7866.999999999948,1.2946485318418892,0.574468085106383,24.65957446808645,60.499999999997556,2220.0,99048.00000000007,6,345.25208861111116,1684.000000000126,756.0000000001287,-18.999999999877218,0
P0_B02_BASELINE_F05_BASELINE,2020-09,66,-4917.000000000002,2911.00000000003,-7828.000000000032,0.3718702095043457,0.3484848484848485,-74.50000000000003,-55.999999999997385,4917.000000000015,95082.99999999999,6,696.7499788888889,-5287.000000000006,-5898.000000000025,-6335.000000000022,0
P0_B02_BASELINE_F05_BASELINE,2020-10,79,1246.9999999999714,6505.999999999972,-5259.000000000001,1.2371173226849155,0.5063291139240507,15.784810126581915,9.000000000000341,2107.9999999999563,99469.99999999999,7,193.2586088888889,502.9999999999716,-746.000000000038,-1626.0000000000332,0
P0_B02_BASELINE_F05_BASELINE,2020-11,66,3671.000000000006,10226.999999999989,-6555.999999999984,1.5599450884685806,0.4393939393939394,55.62121212121221,-21.999999999998465,3625.9999999999563,99297.0,8,501.25019583333335,1872.0000000000136,-1448.999999999985,-3047.9999999999886,0
P0_B02_BASELINE_F05_BASELINE,2020-12,83,-4310.999999999935,4716.000000000024,-9026.999999999958,0.5224327018943221,0.30120481927710846,-51.9397590361438,-73.99999999999807,6090.999999999985,95689.00000000007,14,670.0000377777777,-4997.999999999947,-6011.999999999957,-6718.999999999951,0
P0_B02_BASELINE_F05_BASELINE,2021-01,69,1150.000000000006,5644.999999999996,-4494.99999999999,1.2558398220244735,0.463768115942029,16.666666666666753,-16.999999999995907,1315.0,99017.00000000001,8,348.49786916666665,632.0000000000052,-301.0000000000016,-937.0000000000114,0
P0_B02_BASELINE_F05_BASELINE,2021-02,88,423.9999999999783,8334.99999999998,-7911.000000000002,1.0535962583744125,0.5795454545454546,4.818181818181571,32.00000000000358,3256.0,98464.00000000001,7,458.25007111111114,-30.000000000015234,-814.0000000000213,-1517.000000000024,0
P0_B02_BASELINE_F05_BASELINE,2021-03,81,1487.0000000000089,8573.000000000036,-7086.000000000027,1.2098504092576916,0.5432098765432098,18.358024691358136,33.00000000000125,4653.0,99153.99999999997,12,530.4994452777778,796.0000000000206,-263.9999999999675,-1148.9999999999584,0
P0_B02_BASELINE_F05_BASELINE,2021-04,71,-843.0000000000318,6157.9999999999445,-7000.999999999976,0.8795886301956813,0.49295774647887325,-11.873239436620167,-4.0000000000048885,2358.0000000000146,97641.99999999999,10,745.0006172222222,-1310.0000000000305,-1916.000000000025,-2487.000000000009,0
P0_B02_BASELINE_F05_BASELINE,2021-05,70,-4265.999999999921,4904.999999999973,-9170.999999999894,0.5348380765456362,0.3142857142857143,-60.94285714285601,-63.00000000000239,5833.000000000015,94538.99999999999,10,684.2502177777777,-4843.999999999924,-5911.999999999922,-6845.999999999919,0
P0_B02_BASELINE_F05_BASELINE,2021-06,71,-640.0000000000148,5629.000000000018,-6269.000000000034,0.897910352528312,0.4647887323943662,-9.014084507042462,-7.999999999995566,3030.0000000000437,98534.99999999996,8,557.0064975,-1224.000000000018,-2149.0000000000155,-2822.0000000000173,0
P0_B02_BASELINE_F05_BASELINE,2021-07,82,4272.000000000118,9147.000000000078,-4874.999999999956,1.876307692307725,0.5487804878048781,52.097560975611195,30.500000000003524,1092.999999999971,100000.0,7,261.4979575,3577.000000000111,2533.0000000000996,1723.0000000000973,0
P0_B02_BASELINE_F05_BASELINE,2021-08,101,-2911.9999999999354,8280.000000000016,-11191.99999999995,0.7398141529664093,0.504950495049505,-28.831683168316193,3.0000000000001137,5355.000000000015,97088.00000000006,8,313.24993277777776,-3565.999999999932,-4827.999999999946,-5791.9999999999445,0
P0_B02_BASELINE_F05_BASELINE,2021-09,104,1647.000000000091,9707.000000000065,-8059.9999999999745,1.2043424317617986,0.5865384615384616,15.836538461539336,55.5000000000021,2198.9999999999854,98391.0,5,259.2501011111111,1254.0000000000903,639.0000000000812,69.000000000088,0
P0_B02_BASELINE_F05_BASELINE,2021-10,85,2693.000000000055,9152.0,-6458.999999999946,1.4169376064406372,0.611764705882353,31.68235294117712,21.000000000000796,2278.999999999942,99460.99999999999,5,337.9986847222222,2073.0000000000505,1087.0000000000464,184.00000000004047,0
